tx_title,phrase_id,v,sentence,translation
Nabita,T35_P140,b'an,"b'uji qe rij chi chee' xen,+",Lo somató a palos.
Nabita,T35_P142,b'an,"Lo ke xen sik' wunaq,+",Lo que hizo el pobre hombre.
Nabita,T35_P144,chap,"xchep jchee' man ri'j laj anm chuch,+",Le agarró el palo a la bieja.
Nabita,T35_P146,chap,xchep jchee' man ra anm.+,Agarró el palo de la amujer.
Nabita,T35_P150,ye',kom kita' chawaj taye'w.+,Como no lo queres dar.
Nabita,T35_P153,k'am,ma juntir ta'nbwen tank'am b'ik.+,No es todo lo que me llevo solo dos.
Nabita,T35_P155,b'an,"Kee, ta' chiki' neen mod ta'an k'ex ree in tiko'n+",Que ya no debes de hacer daño a ni siembra.
Nabita,T35_P157,tik,neen chek ta' tatik awee pwes.+,¿Y por que no siembras vos pués?
Nabita,T35_P158,b'an,"Entons aat atb'enow k'ex ree, ra wichaj neri,+",Entonces vos sos quien as hecho daño a mi hierbita aquí.
Nabita,T35_P166,kuy,"xta' kuyb'el jmak chuch, jwi'l qe rejwex.+",Le pidió perdón solo por necesidad.
Nabita,T35_P171,ye',"mejor tinya' juntir ra íchij ch awee,+",Mejor te doy toda la yerbita a vos.
Nabita,T35_P177,k'am,"tank'am la jq'oor,+",Lo tomaré luego.
Nabita,T35_P181,ye',"O taye' ra l ék'el on li,+",O me darás el niño solo así.
Nabita,T35_P182,tok,"tons wi' a derecho tib'a toke' ra íchaj,+",Entoces tendras el derecho de ir a buscar la hierbita.
Nabita,T35_P185,tok,"Ta toke' juntir tra íchaj,+",Anda a buscar toda la hierbita.
Nabita,T35_P187,k'am,"tak'am b'ik,+",Te lo llevas.
Nabita,T35_P188,ye',"taye' ree tijtij,+",Se lo das para que se lo coma.
Nabita,T35_P193,k'om,xaq tik'isi' tank'am.+,Solo cuando nace lo tomo.
Nabita,T35_P209,taq,atin taq b'ik+,No te voy a solatar.
Nabita,T35_P218,ya',"tzi'b'a li pwe tinya' ral ék'el chawe xaq tik'isi',+",Esta bien pués te daré el niño cuando nece.
Nabita,T35_P220,b'an,por e... tin ori juwi'l ta inb'an tanya' ral ék'el chawe.+,"Pero ahora solo porque, te daré el patojito a vos."
Nabita,T35_P223,tok,"Tons ljori wi' alibertad tib'a toke' juntir tra' íchij,+",Entonces ahora tienes libertad de buscar todas las hierbitas.
Nabita,T35_P226,chaja,Tons kwando chejeel ral ék'el jwi'l sik' anm+,Entonces cuando estava cuidando el niño por la pobre mujer.
Nabita,T35_P229,b'an,I sik' wunaq xen segir chaak+,Y el pobre hombre siguió trabajando.
Nabita,T35_P229,seguir,I sik' wunaq xen segir chaak+,Y el pobre hombre siguió trabajando.
Nabita,T35_P232,taw,neen or titaw q'iij ree titzib' sik' rixóqil.+,Caundo llega la hora que se alivia la mujer.
Nabita,T35_P233,taw,Repent qe xtaw q'iij xtzib' sik' rixóqil+,Derepente llego el día que se alivió la pobre mujer.
Nabita,T35_P234,taw,"o... xtaw man,+",¡O! llego esa.
Nabita,T35_P235,taw,"xtaw man anm chajal sik' anm jwi'l,+",Llegó esa mujer tenía controlada a lapobre mujer.
Nabita,T35_P235,chaj,"xtaw man anm chajal sik' anm jwi'l,+",Llegó esa mujer tenía controlada a lapobre mujer.
Nabita,T35_P240,ch'aj,"xch'ajsaj rij ral ék'el juntir,+",Bañaron el patojito todo.
Nabita,T35_P241,pis,xpis taq li atz'iq.+,Lo envolvieron en ropa.
Nabita,T35_P242,k'am,Dyunabes xk'am+,De una vez se la llevó.
Nabita,T35_P243,-ye',"ta' chiki' raaj xkajye',+",Ya no quiso dejarlo.
Nabita,T35_P249,k'am,"Xk'am ch ral ék'el,+",Se trajo al patojito.
Nabita,T35_P252,k'am,xk'amch man anm+,Lo trajo esa mujer.
Nabita,T35_P254,b'is,Tib'ison tzik' jchuuch+,Muy triste la pobre mamá.
Nabita,T35_P268,taw,"xtaw ra nim chaq,+",Llegó ya a grande ya.
Nabita,T35_P280,b'an,ya kwand xan q'opoj anm ral ék'el ra anm la jq'ab' man anm li.+,Ya cuando se hizo señorita la mujercita en manos de esa mujer.
Nabita,T35_P282,k'am,"xk'am b'ik,+",Se la llevó.
Nabita,T35_P283,k'am,"xk'am b'ik chub' jun nim,+",se la llevó sobre de una gran.
Nabita,T35_P289,titz',"Entons kila' xij titze' ral ék'el ra anm li jun jaa,+",Entonces alli fue a meter la patojita en una casa.
Nabita,T35_P292,maj,"kita' timajsaj ree,+",No se la van quitar.
Nabita,T35_P301,tij,kom ne bire ra anm ri in wichaji' xtij+,Como se llama esta mujercita se comió mi hierba.
Nabita,T35_P306,koj,"Jb'ij ra íchij xkoj ree ra anm,+",El nombre de la hierbita le puso a la mujercita.
Nabita,T35_P329,pach'u,"xpach'uj jb'a ra anm,+",Le trenzó el pelo a la mujercita.
Nabita,T35_P331,pach'u,"Nim rqan jb'a ra anm xpach'uj,+",Grande su pie el pelo de la mujercita que trenzó. (Le trenzó el gran pelo de la mujercita)
Nabita,T35_P332,b'an,"xen jun trens ree,+",Le hizo una sola trenza.
Nabita,T35_P334,taw,Ya kwand titaw chij ye'ik jwa ra anm+,Ya cuando llegava a dejar la comida a la mujercita.
Nabita,T35_P334,ch'ij,Ya kwand titaw chij ye'ik jwa ra anm+,Ya cuando llegava a dejar la comida a la mujercita.
Nabita,T35_P334,ye',Ya kwand titaw chij ye'ik jwa ra anm+,Ya cuando llegava a dejar la comida a la mujercita.
Nabita,T35_P345,kok,La' jrusumal jb'a tikoker taq'an b'ik+,Del pelo de la cabeza se cuelga para subirse.
Nabita,T35_P346,taw,"titaw rik'il lékej,+",Llega con ella en el cielo.
Nabita,T35_P370,ta',"xwab'a' jkwa'y ta'iik,+",Paró su caballo para escuchar.
Nabita,T35_P377,ta,xta qe.+,Solo puso atención.
Nabita,T35_P378,chaja,I xchajaj qe+,Y solo la controló.
Nabita,T35_P379,ta',"xe' kib', uxub', bwelt ta'ik,+",La escucho por unas dos tres veces.
Nabita,T35_P384,chaja,Entonse xchajaj ri' chaq tril.+,"Entonces la controló, cuando se dió cuenta."
Nabita,T35_P385,taw,"Xtaw man étzel anm chi jralaj,+",Yegó la mala mujer debajo. ( de la piedra.)
Nabita,T35_P387,ta',"Ri' chaq ta' ree,+",¡Entonces escuchó el!
Nabita,T35_P391,ta,ri' chaq ta ree.+,Entonces escuchó él.
Nabita,T35_P392,tiráme,"Nabita, Nabita, tiráme la trensa+",Nabita Nabita tírame la trenza.
Nabita,T35_P397,t'oj,"Xt'ojch jun trens chi rij e man, man étzel anm+",Tiró una trenza detras de esa mala mujer.
Nabita,T35_P403,taw,ra k'ojool wunaq ril qe neen mod tren man étzel anm titaw.+,El jovencito solo puso atención a lo que hacía esa mala mujer cuando llega.
Nabita,T35_P405,b'an,"I entons on li tinb'an in chweq',+",Y entonces asi voy a hacer yo mañana.
Nabita,T35_P421,chaja,xi'j b' inchajaj naa+,Lo tuvo que ir a cuidar.
Nabita,T35_P435,t'oj,xt'ojch.+,Lo tiró.
Nabita,T35_P440,t'oj,kwando ril ree xt'oojch man li+,Cuando ella vio tiró eso.
Nabita,T35_P443,kok,xkoker chirij man+,Se colgó de trás de:
Nabita,T35_P445,taw,"xtaw rik'il ra anm,+",Llegó con la jovencita.
Nabita,T35_P448,taw,"xtaw rik'il,+",Llegó con ella.
Nabita,T35_P450,taw,"ri' chaq tril xtaw ra k'ojol wunaq rik'il,+",Ya cuando vio llegó el jovencito con ella.
Nabita,T35_P459,k'am,"Usil ra anm xk'am rib' jwich chi riij,+",Poco a poco la jovencita se fue hayando con él.
Nabita,T35_P466,kok,neen k'u la' tikokerw ree ta' la neen tikokerw+,Y con qué se va a colgar y si no hay con qué colgarse.
Nabita,T35_P466,kok,neen k'u la' tikokerw ree ta' la neen tikokerw+,Y con qué se va a colgar y si no hay con qué colgarse.
Nabita,T35_P467,kok,kom ri' ree tikoker man anm rik'il+,Como es para se cuelge la mujer.
Nabita,T35_P469,kok,kita' neen tikoker ra anm nad.+,"No hay con que colgarse la mujer, no tiene nada."
Nabita,T35_P472,taw,ya titaw man anm+,Ya va llegar esa mujer.
Nabita,T35_P478,taw,"Titaw q'iij,+",Llega el día.
Nabita,T35_P479,taw,"q'iij, titaw+",El día llega. (todos los días llega)
Nabita,T35_P483,kontrolar,"ya ra anm retam chaq tambyen per tintran kontrolar tambyen,+","Ya la jovencita ya sabe, pero ella también está controlando."
Nabita,T35_P484,taw,"neen titaw nab'e,+",Quién llega primero (la mala mujer o el joven)
Nabita,T35_P485,taw,titaw man étzel anm+,Llega la mala mujer.
Nabita,T35_P486,taw,o ra wunaq titaw.+,O el joven llega.
Nabita,T35_P487,taw,"I sol chaq titaw rik'il,+",Ya solo con ella se mantiene.
Nabita,T35_P492,taw,xtaw chik+,Llegó otra vez.
Nabita,T35_P501,ta',"Kwand xta'w man étzel anm,+",Cuando llegó la mala mujer.
Nabita,T35_P505,taw,Kwando xtaw+,Cuando llegó.
Nabita,T35_P508,chap,"I xchep man étzel anm,+",Y la mala mujer lo agarró.
Nabita,T35_P511,chap,"xchep chi jsumal jb'a,+",Lo agarró del pelo.
Nabita,T35_P513,t'oj,"xt'oojch ra wunaq,+",aventó al jovencito.
Nabita,T35_P521,kol,ta' dyoos kare' xkolow ree+,(No le pasó nada) Dios deplano fue quien lo defendió de seguro:
Nabita,T35_P522,taw,"kita' qleen xtaw,+",No le pasó nada.
Nabita,T35_P524,ta',"Ta' mas neen xta'w jor chaq ti'oq' xek',+","No mucho encontró, Se fue llorando (lloraba mucho cuando se fue)"
Nabita,T35_P526,tij,Ke golpe xtij nika...+,Que golpe recibió.
Nabita,T35_P531,yaj,"xyaj ra anm, cha'.+",Regañó a la jovencita.
Nabita,T35_P535,waaj,por es ta' chuwaj nad t'ook awik'il+,Por eso no quiero que entre nadie contigo.
Nabita,T35_P552,taw,Xtaw ra wunaq+,Llegó el jovencito.
Nabita,T35_P554,t'oj,"nad wi' chik, kita' chikin neen tit'ojowch trens ree nad,+","Ya no había nadie, ya no había quien le tirara la trensa, nada."
Nabita,T35_P559,tij,"awnke sey xtij jun bwen golp,+",Aunque se haya llevado un buen golpe.
Nabita,T35_P563,taw,"Ntons, jilon we xtaw chik chi jch'ab'ej+",Entonces sí llega otra vez a hablarle.
Nabita,T35_P567,k'am,"xk'amb'ik,+",Se la llevó.
Nabita,T35_P571,k'am,"kabalit k'omol jun kolob' jwi'l,+",Cabal que llevaba un lazo (por él)
Nabita,T35_P572,jet',"xjet' jun kolob',+",Amarró un lazo.
Nabita,T35_P574,kok,xkoker taq la'+,Se colgaron de:
Nabita,T35_P577,k'am,"xk'am b'i ra anm,+",Se llevó a la jovencita.
Nabita,T35_P583,k'am,"ne b'i ree, ra anm ya k'omol chaq b'ik.+","Como se llama, la jovencita ya se la habían llevado."
Nabita,T35_P586,b'an,"jlon qe li xen gnar ra wunaq,+",Sólo así logró el jovencito (logró el jovencito)
Hombre-que-come-elote,T52_P2,ta'l,Segun loke ta'l inwi'l iin.+,Segun loque yo he escuchado.
Hombre-que-come-elote,T52_P4,tik,"jun ra wunaq titik k'ux re, re ltiyempo re sa'j.+",Un hombrecito siembra elote en el tiempo de verano.
Hombre-que-come-elote,T52_P16,k'ul,"I despwes kabal xk'ul ra ék'el,+",Y después cabal encontro el niño.
Hombre-que-come-elote,T52_P18,iij,xiij re cha'.+,Le dijo a él dice.
Hombre-que-come-elote,T52_P19,miraa,"Ke... miraa,+",Que mirá.
Hombre-que-come-elote,T52_P22,tij,"I nemoo k'u aat ke... tatij k'ux sa'j,+",Y de que modo usted come elote en tiempo de verano.
Hombre-que-come-elote,T52_P37,m,xme' chik k'ux.+,Fue otra vez a traer elote.
Hombre-que-come-elote,T52_P40,iij,"Xiij re mira lojori si tin, tinb'e ák'il+","Le dijo mira, ahora si me boy con vos."
Hombre-que-come-elote,T52_P41,waaj,lojori si chuwaji' k'ux.+,Ahora si quiero elote.
Hombre-que-come-elote,T52_P43,cha',cha' man wunaq re cha'.+,Le dijo ese hombre a él dice.
Hombre-que-come-elote,T52_P53,k'am,I... xk'am b'ik+,Y se lo llevoó
Hombre-que-come-elote,T52_P54,taw,ya kwand xtaw taq re man chij chi' man k'echelaaj.+,Ya cuando llegaron a la orilla de la montaña.
Hombre-que-come-elote,T52_P55,iij,"Xiij re,+",Le dijoa él.
Hombre-que-come-elote,T52_P58,cha',"cha' re cha',+",Le dijo a él dice.
Hombre-que-come-elote,T52_P59,mutz',"ke lajori mutz' ab'aq'wich,+",Que ahora cierra tus ojos.
Hombre-que-come-elote,T52_P61,mutz,Tabiyeen xmutz' jb'aq'wich.+,También cerro sus ojos.
Hombre-que-come-elote,T52_P62,ya',I kwando xya'+,Y cuando dio.
Hombre-que-come-elote,T52_P64,seraa,"wi' chaq li jun, jun jaa biyeen seraa.+",Ya estava en una casa bien cerrada.
Hombre-que-come-elote,T52_P66,xij,"I xij re,+",Y le dijo a él.
Hombre-que-come-elote,T52_P72,b'ij,ke kwando xinb'ij chawe jinon ri.+,Que cuando te lo dije asi es.
Hombre-que-come-elote,T52_P78,cha',cha' man wunaq re cha'.+,Dijo ese hombre a él dice.
Hombre-que-come-elote,T52_P87,iij,"Man jun xiij re maj pech,+",El otro le dijo a su compañero.
Hombre-que-come-elote,T52_P92,tzek,"Despwes tzekmaj kinaq' qawi'l,+",Despues de cocer un poco de frijol por nosotros.
Hombre-que-come-elote,T52_P97,tzaq,"Pwes xtzaq, tzaq uxub' tra jb'aq'wich tra kinaq'+",Pues hecho hecho tres granitos de frijolitos.
Hombre-que-come-elote,T52_P97,tzaq,"Pwes xtzaq, tzaq uxub' tra jb'aq'wich tra kinaq'+",Pues hecho hecho tres granitos de frijolitos.
Hombre-que-come-elote,T52_P99,iij,Antons xiij taq re ra ék'el.+,Entonces le dijeron al niño.
Hombre-que-come-elote,T52_P103,cha',cha'saj re cha'.+,Le dijeron a él dice.
Hombre-que-come-elote,T52_P106,tzek,nonli li tzekik kinaq'.+,Asi se coce el frijol.
Hombre-que-come-elote,T52_P107,tzek,Uxub' tra jb'aq'wich kinaq' xtzek taq.+,Tres granitos de frijol cocieron.
Hombre-que-come-elote,T52_P109,iij,"Xiij por gust qe iin ta' tijye' taq jun kitz wee,+",Dijo por gusto a mi no me daran un mi poco.
Hombre-que-come-elote,T52_P112,tzek,ke iin mas tra kitz xtzek taq.+,Que yo miro muy poco cocierón.
Hombre-que-come-elote,T52_P116,ya,"Loke yataq tintzaq na jun puñ,+","Loque ellos hecharon, yo hecharé un puño más."
Hombre-que-come-elote,T52_P118,tzaq,"Kond tzaq taq jun puñ,+",Cuando hecharon un puño.
Hombre-que-come-elote,T52_P119,chaq',"kabalmnete kwando yamer chaq' ra, ra kinaq'.+",Cabalmente cuando ya mero se cose el el frijolito.
Hombre-que-come-elote,T52_P122,raaq,kwando raaqin ra b'o'j.+,Cuando exploto la ollita.
Hombre-que-come-elote,T52_P124,iij,"Xiij lajori raqin ra b'o'j,+",Dijo ahora exploto la olla.
Hombre-que-come-elote,T52_P124,raq,"Xiij lajori raqin ra b'o'j,+",Dijo ahora exploto la olla.
Hombre-que-come-elote,T52_P126,k'am,lamas xk'am taq b'i....+,Por donde llevaron.
Hombre-que-come-elote,T52_P131,k'am,"Per rechaq xk'am taq b'ik maq atz'iq maq mant,+",Pero ellos llevaron las ropas las mantas.
Hombre-que-come-elote,T52_P136,tor,"I... xtore' taqch jab',+",Y fueron abrir la lluvia. (hechar la lluvia)
Hombre-que-come-elote,T52_P138,yaj,"Baa xpee k'u... yaj ék'el li iin tinb'e rk'ilaq,+","Baya vino ese niño, yo me boy con ellos."
Hombre-que-come-elote,T52_P140,k'am,Xk'amech' maqatz'iq xkoj jun atz'iq.+,Fue a traer esas ropas se lo puso.
Hombre-que-come-elote,T52_P140,koj,Xk'amech' maqatz'iq xkoj jun atz'iq.+,Fue a traer esas ropas se lo puso.
Hombre-que-come-elote,T52_P143,taw,"I... xe'k' xtaw li jun lmar,+",Y se fue y llego en un mar.
Hombre-que-come-elote,T52_P144,taw,kwand xtaw lmar.+,Cuando llego en el mar.
Hombre-que-come-elote,T52_P145,tor,Xtoreech' ja'.+,Fue abrir el agua.
Hombre-que-come-elote,T52_P147,wa'r,pa... kongan ta' chki' tuwa'r jab'.+,Pero con gana ya no para la lluvia.
